"한국말","Korean language (native, more casual)"
"두껍다","thick"
"장갑","gloves"
"걱정하다","to worry"
"약혼녀","female fiancée"
"약혼자","male fiancé"
"사천","cousin"
"재미교포","Korean-American"
"교포","Korean-American (abbr)"
"부대찌개","army stew"
"가지고 오다","to come and be bringing something"
"갈아타다","to transfer"
"걸어가다","to go somewhere on foot"
"걸리다","to take time"
"그렇다","to be so"
"끝나다","to be finished"
"끝내다","to finish"
"기다려지다","to look forward to"
"기다리다","to wait"
"기분이 좋다","to feel good"
"나가다","to go out"
"내다","to pay"
"내리다","to get off"
"덮다","to cover up, to close (e.g., book)"
"뛰다","to run, to jump"
"모르다","to not know"
"반갑다","to be glad/pleased"
"버리다","to throw away"
"뵙다","to see/meet someone (honorific)"
"사귀다","to date, make friends"
"친구하다","to make friends"
"쉽다","to be easy"
"스키타다","to ski"
"승진하다","to be promoted"
"머신러닝","machine learning"
"경영하다","to manage (profession)"
"매니저","manager"
"시장보다","to grocery shop"
"신다","to wear shoes, socks"
"채소","vegetables"
"디저트","dessert"
"어휘","vocabulary"
"아니다","to not be"
"얘기하다","to chat (contracted)"
"어울리다","to fit in (e.g., socially), to suit (e.g., clothing)"
"울다","to cry"
"웃다","to grin, laugh"
"시키다","to order food (command)"
"주문하다","to order food (more humble)"
"졸업하다","to graduate"
"지내다","to get along, to spend (one's time)"
"차다","to be cold (an object)"
"초대하다","to invite"
"컴퓨터하다","to use a computer"
"파티하다","to have a party"
"피다","to bloom (flowers)"
"헤어지다","to break up (with someone)"
"살을 빼다","to lose weight (intentionally)"
"살이 빠지다","to lose weight (unintentionally)"
"목소리","voice"
"변호사","lawyer"
"고향이","hometown"
"잘 다녀오세요","safe returns (honorific)"
"잘 갔다 와요","safe returns (polite)"
"사 오다","to buy and return"
"갖다 드리다","to fetch and give"
"위해서","for someone"
"이렇게","like this"
"전","pancake"
"구경하다","to look around, to see the sights"
"친절하다","to be kind"
"편하다","to be comfortable"
"모두","everyone, all"
"제일","best, most"
"또","again"
"도시","city"
"문화","culture"
"이제","now"
"싱겁다","bland, tiresome, tedious"
"길다","to be long"
"날다","to fly, travel through the air"
"나이","age (plain)"
"연게","age (honorific)"
"댁","house (honorific)"
"진지","meal (honorific)"
"면","people counter (plain)"
"분","people counter (honorific)"
"저희","we, our (humble)"
"븹다","to meet someone (humble)"
"죽다","to die (plain)"
"돌아가시다","to die (honorific)"
"드리다","to give (humble)"
"말씀드리다","to speak (humble)"
"께서는","은/는 (honorific)"
"교수님","professor (honorific)"
"기역","The letter ㄱ"
"디귿","The letter ㄷ"
"시옷","The letter ㅅ"
"이응","The letter ㅇ"
"쌍기역","The letter ㅆ"
"이름이 어떻게 되세요?","What's your name?"
"어느 나라에서 오셨어요?","What country are you from?"
"처음 뵙겠습니다","Nice to meet you (deferential, humble)"
"만나서 반갑습니다","Nice to meet you (deferential)"
"무슨 일하세요?","What kind of work do you do?"
"이름을 이렇게 쓰세요?","Do you write your name like this?"
"태어나다","to be born"
"반찬","side dishes"
"바꾸다","to change or exchange"
"부르다","to call, shout"
"들다","to lift, carry"
"법","method"
"소리 내서 읽다","to read aloud"
"과장","manager"
"팀장","team lead"
"프로젝트","project"
"최근에","recently"
"조직개편","reorg"
"보스","boss"
"버지니아","Virginia"
"메릴랜드","Maryland"
"장인어른","father-in-law"
"장모님","mother-in-law"
"로스앤젤레스","Los Angeles"
"표","tickets"
"뉴욕","New York"
"기다려지다","to be excited; can't wait"
"돈을 찾다","to withdraw money"
"빌리다","to borrow"
"빌려 주다","to loan"
"시계","clock"
"아람 기계를 맞차다","to set an alarm clock"
"회의하다","to have a meeting"
"일을 다 하다","to finish all work"
"웬일이세요?","What brings you here?"
"이따가","a little later"
"예습하다","to prepare"
"외우다","to memorize"
"인터넷하다","to use the internet"
"들어가다","to enter (e.g., employment)"
"통역","to interpret (translation)"
"사장님","boss"
"지각하다","to be late"
"화가 나다","to be angry"
"그만두다","to stop, to give up, to quit a job"
"방송","announcement, broadcast"
"아이구","oops"
"깜짝 놀라다","to be surprised"
"들어가다","to go in"
"드디어","finally"
"도착하다","to arrive"
"업무","work"
"업무가 과하다","to work too much (formal)"
"일이 너무 많아요","to work too much (less formal)"
"손을 씻다","to wash hands"
"갖고 오다","to bring with (contraction)"
"이따가","little later"
"나중에","later"
"면접하다","to interview"
"알아보다","to recognize someone, something; to look into"
"졸리다","to be sleepy"
"등록하다","to register for"
"대학원","graduate school"
"알람소리","sound of the alarm"
"아이","child"
"어른","adult"
"주중","weekdays"
"기차","train"
"조각","slice counter (native)"
"사탕","candy"
"봉지","bags counter (native)"
"종아리","calves (legs)"
"곰젤리","gummy bears"
"게토레이","Gatorade"
"스포츠 드링크","sports drink"
"도넛","donut"
"소시지빵","kolache"
"땅콩","peanut"
"땅콩버터 젤리 샌드위치","peanut butter and jelly sandwich"
